Name and status of region,ISO,ANSI,,USPS,USCG,GPO,AP,"Other
abbreviations"
Alabama,US-AL,AL,1,AL,AL,Ala.,Ala.,
Alaska,US-AK,AK,2,AK,AK,Alaska,Alaska,Alas.
Arizona,US-AZ,AZ,4,AZ,AZ,Ariz.,Ariz.,Az.
Arkansas,US-AR,AR,5,AR,AR,Ark.,Ark.,
California,US-CA,CA,6,CA,CF,Calif.,Calif.,"Ca., Cal."
Colorado,US-CO,CO,8,CO,CL,Colo.,Colo.,Col.
Connecticut,US-CT,CT,9,CT,CT,Conn.,Conn.,Ct.
Delaware,US-DE,DE,10,DE,DL,Del.,Del.,De.
District of Columbia,US-DC,DC,11,DC,DC,D.C.,D.C.,Wash. D.C.
Florida,US-FL,FL,12,FL,FL,Fla.,Fla.,"Fl., Flor."
Georgia,US-GA,GA,13,GA,GA,Ga.,Ga.,
Hawaii,US-HI,HI,15,HI,HA,Hawaii,Hawaii,H.I.
Idaho,US-ID,ID,16,ID,ID,Idaho,Idaho,"Id., Ida."
Illinois,US-IL,IL,17,IL,IL,Ill.,Ill.,"Il., Ills., Ill's"
Indiana,US-IN,IN,18,IN,IN,Ind.,Ind.,In.
Iowa,US-IA,IA,19,IA,IA,Iowa,Iowa,"Ia., Ioa.[1]"
Kansas,US-KS,KS,20,KS,KA,Kans.,Kan.,"Ks., Ka."
Kentucky,US-KY,KY,21,KY,KY,Ky.,Ky.,"Ken., Kent."
Louisiana,US-LA,LA,22,LA,LA,La.,La.,
Maine,US-ME,ME,23,ME,ME,Maine,Maine,Me.
Maryland,US-MD,MD,24,MD,MD,Md.,Md.,
Massachusetts,US-MA,MA,25,MA,MS,Mass.,Mass.,
Michigan,US-MI,MI,26,MI,MC,Mich.,Mich.,
Minnesota,US-MN,MN,27,MN,MN,Minn.,Minn.,Mn.
Mississippi,US-MS,MS,28,MS,MI,Miss.,Miss.,
Missouri,US-MO,MO,29,MO,MO,Mo.,Mo.,
Montana,US-MT,MT,30,MT,MT,Mont.,Mont.,
Nebraska,US-NE,NE,31,NE,NB,Nebr.,Neb.,
Nevada,US-NV,NV,32,NV,NV,Nev.,Nev.,Nv.
New Hampshire,US-NH,NH,33,NH,NH,N.H.,N.H.,
New Jersey,US-NJ,NJ,34,NJ,NJ,N.J.,N.J.,N.Jersey
New Mexico,US-NM,NM,35,NM,NM,N. Mex.,N.M.,New M.
New York,US-NY,NY,36,NY,NY,N.Y.,N.Y.,N. York
North Carolina,US-NC,NC,37,NC,NC,N.C.,N.C.,N. Car.
North Dakota,US-ND,ND,38,ND,ND,N. Dak.,N.D.,NoDak
Ohio,US-OH,OH,39,OH,OH,Ohio,Ohio,"O., Oh."
Oklahoma,US-OK,OK,40,OK,OK,Okla.,Okla.,Ok.
Oregon,US-OR,OR,41,OR,OR,Oreg.,Ore.,Or.
Pennsylvania,US-PA,PA,42,PA,PA,Pa.,Pa.,"Penn., Penna."
Rhode Island,US-RI,RI,44,RI,RI,R.I.,R.I.,"R.I. & P.P., R. Isl."
South Carolina,US-SC,SC,45,SC,SC,S.C.,S.C.,S. Car.
South Dakota,US-SD,SD,46,SD,SD,S. Dak.,S.D.,SoDak
Tennessee,US-TN,TN,47,TN,TN,Tenn.,Tenn.,
Texas,US-TX,TX,48,TX,TX,Tex.,Texas,Tx.
Utah,US-UT,UT,49,UT,UT,Utah,Utah,Ut.
Vermont,US-VT,VT,50,VT,VT,Vt.,Vt.,
Virginia,US-VA,VA,51,VA,VA,Va.,Va.,Virg.
Washington,US-WA,WA,53,WA,WN,Wash.,Wash.,"Wa., Wn.[2]"
West Virginia,US-WV,WV,54,WV,WV,W. Va.,W.Va.,"W.V., W. Virg."
Wisconsin,US-WI,WI,55,WI,WS,Wis.,Wis.,"Wi., Wisc."
Wyoming,US-WY,WY,56,WY,WY,Wyo.,Wyo.,Wy.
American Samoa,AS ASM 016 US-AS,AS,60,AS,AS,A.S.,,
Guam,GU GUM 316 US-GU,GU,66,GU,GU,Guam,,
Northern Mariana Islands,MP MNP 580 US-MP,MP,69,MP,CM,M.P.,,
Puerto Rico,PR PRI 630 US-PR,PR,72,PR,PR,P.R.,,
U.S. Virgin Islands,VI VIR 850 US-VI,VI,78,VI,VI,V.I.,,U.S.V.I.
U.S. Minor Outlying Islands,UM UMI 581 US-UM,UM,74,,,,,
Baker Island,UM-81,,81,,,,,XB[3]
Howland Island,UM-84,,84,,,,,XH[3]
Jarvis Island,UM-86,,86,,,,,XQ[3]
Johnston Atoll,UM-67,,67,,,,,XU[3]
Kingman Reef,UM-89,,89,,,,,XM[3]
Midway Islands,UM-71,,71,,,,,QM[3]
Navassa Island,UM-76,,76,,,,,XV[3]
Palmyra Atoll[4],UM-95,,95,,,,,XL[3]
Wake Island,UM-79,,79,,,,,QW[3]
Micronesia,FM FSM 583,FM,64,FM,,,,
Marshall Islands,MH MHL 584,MH,68,MH,,,,
Palau,PW PLW 585,PW,70,PW,,,,
U.S. Armed Forces – Americas[5],,,,AA,,,,
U.S. Armed Forces – Europe[6],,,,AE,,,,
U.S. Armed Forces – Pacific[7],,,,AP,,,,
